area_no,company_name,job_name,salary
6001001001,開南學校財團法人,開南中學-照顧服務科行政人員,"月薪31,510元"
6001001001,台灣太子不動產投資股份有限公司,業務專員,"月薪32,000~40,000元"
6001001001,專品藥局_專品醫療器材股份有限公司,【挑戰年薪48萬起】門市後勤助理-台大醫院店(無經驗可),"月薪32,000~40,000元"
6001001001,易居管理顧問股份有限公司,行政人員(台北),"月薪32,000~35,000元"
6001001001,精懋聯合會計師事務所,日間工讀生,時薪183元
6001001001,兆豐期貨股份有限公司,企劃室專員,"月薪28,000~35,000元"
6001001001,宏順馳通運有限公司,長期兼職包裝人員,時薪183元
6001001001,博德樂速股份有限公司,日商Share house國際學生顧問助理工讀,時薪183元
6001001001,震旦集團_金儀股份有限公司,財務倉管行政人員(專戶部分公司)(AI面試),"月薪30,000~36,000元"
6001001001,品信法律事務所,日間工讀生,時薪183~200元
6001001001,雅卓有限公司,藝術行政/樂團行政,"月薪28,000元以上"
6001001001,友士股份有限公司,行政助理-總務課,"月薪27,470~32,000元"
6001001001,巨匠電腦股份有限公司(巨匠電腦)(巨匠美語),總機行政專員(G),"月薪30,000~35,000元"
6001001001,德益法律事務所,行政助理,"月薪27,470~30,000元"
6001001001,蓋婭基因股份有限公司,【總部擴編】業務助理(底薪+季績效獎金),"月薪28,000~32,000元"
6001001001,財團法人台灣養殖漁業發展基金會,助理會計＊歡迎夜校生*,"日薪1,493~1,537元"
6001001001,財團法人農業科技研究院,研究專員-農政中心(農業部經濟研究科),"月薪42,000元"
6001001001,東森購物_電視購物_東森得易購股份有限公司,【東森廣場】台北車站東森廣場服務台會員服務人員,"月薪28,000~38,000元"
6001001001,藝新多媒體,視訊打字互動人員【台北區】,"月薪40,000~80,000元"
6001001001,財團法人台灣中小企業聯合輔導基金會,【融】工讀生/行政助理,時薪183~200元
6001001001,新壽公寓大廈管理維護股份有限公司,行政專員,"月薪29,500~32,800元"
6001001001,藝珂人事顧問股份有限公司,【郵件收發行政助理 | 台灣知名金融集團】台北車站、穩定周休六日、工作穩定&#039;| BIS_202,"月薪28,000~30,000元"
6001001001,台中銀證券股份有限公司,財務人員,"月薪35,000~40,000元"
6001001001,香港商香港球鞋團隊有限公司,行政資料處理實習生,時薪200元
6001001001,萬寶華企業管理顧問股份有限公司,長期派遣銀行部門行政助理｜歡迎夜校生、二度就業｜周休六日｜501EJ,"月薪27,470~29,000元"
6001001001,日通物業管理股份有限公司,台北市中正區-工讀生,"月薪27,470元"
6001001001,潮網科技股份有限公司,(程數部)數位廣告實習生,時薪183元
6001001001,雍興實業股份有限公司,派駐銀行長期月薪制勤務員（近忠孝新生捷運站),"月薪30,000元"
6001001001,地標網通股份有限公司,內勤行政助理(台北中正區),"月薪31,000~36,000元"
6001001001,東森購物_電視購物_東森得易購股份有限公司,助理秘書,"月薪38,000元以上"
6001001001,赫綵電腦有限公司,財務工讀生,時薪183元
6001001001,台灣麥姝時裝股份有限公司,行政總務(育嬰留停代理-約聘人員),"月薪30,000元以上"
6001001001,台北市私立時代國際語文短期補習班,兼職行政助理(台北車站),時薪183元
6001001001,震旦行股份有限公司五股一分公司_辦公設備系統事業部,財務倉管行政人員(中正分公司),"月薪30,200元"
6001001001,台灣恩悌悌數據股份有限公司,【業務部】日文專案助理,待遇面議
6001001001,敦煌書局股份有限公司,行政助理,"月薪30,000~33,000元"
6001001001,資拓宏宇國際股份有限公司,資訊業務行政管理人員(計畫約聘/駐點氣象署)(PS120),"月薪35,000元以上"
6001001001,和新生鮮有限公司,兼職行政助理(每週四天),"部分工時(月薪)22,000元"
6001001001,台北凱撒大飯店 _國裕開發股份有限公司,客房業務助理,"月薪30,000~34,000元"
6001001001,Shopping99_耐德科技股份有限公司,【管理部】電商行政會計,"月薪30,000~35,000元"
6001001001,華卡企業股份有限公司,永豐銀行｜行政人員｜純內勤無壓力、在校生可｜中正區 / 松山區,"月薪27,470~29,000元"
6001001001,字神帝國英語學院_新視界國際文教顧問有限公司,櫃檯行政人員－台北校,時薪183元
6001001001,新加坡商立福人事顧問有限公司台灣分公司,蝦皮總部_行政工讀【關鍵字標註#】_中正區/短期三個月_AN,時薪183元
6001001001,藤道出版社,[上班時間隨意排][可抽成] 蝦皮網拍店家小編 出貨人員,"月薪31,000~35,000元"
6001001001,荷馬國際有限公司,行政行銷助理,時薪183~200元
6001001001,無限全球通移動通信股份有限公司,日文行政助理,"月薪35,000元以上"
6001001001,精誠軟體服務股份有限公司,行政客服(業務助理)-M200,"月薪30,000元以上"
6001001001,總公司_長頸鹿文化事業股份有限公司,(總公司)教編部工讀生,時薪183元
6001001001,永達儀器有限公司,行政人員,"月薪27,470元以上"
6001001001,環資國際有限公司,環境部資源循環署專案工程師,"月薪35,000元以上"
6001001001,Date Me now跟我約會吧_寶芮利國際股份有限公司,假日櫃台行政(重慶館),時薪183元以上
6001001001,Shopping99_耐德科技股份有限公司,【管理部】電商行政會計,"月薪30,000~35,000元"
6001001001,雍興實業股份有限公司,派駐銀行長期月薪制行政助理(台北巿中正區),"月薪28,000元"
6001001001,覓食國際餐飲企業有限公司,專案管理助理,"月薪32,000~38,000元"
6001001001,上銀行銷股份有限公司,上海銀行仁愛分行工讀生~需備機車~,"月薪28,100元"
6001001001,摩爾證券投資顧問股份有限公司,行政人員,"月薪32,000~40,000元"
6001001001,澄清國際眼科醫院,行政助理(台北院區),"月薪32,000~36,000元"
6001001001,雋大實業股份有限公司,工務行政助理,"月薪27,470~35,000元"
6001001001,紹毅內兒科診所,高端醫療行政接待,"月薪30,000~35,000元"
6001001001,東慧國際諮詢顧問股份有限公司,【全職】Panasonic廚藝生活體驗館 駐館老師助理,"月薪30,000元以上"
6001001001,協益電子股份有限公司,業務助理(SSD00 台北),"月薪30,000~36,000元"
6001001001,友發化工股份有限公司,行政人員,"月薪30,000元以上"
6001001001,環貫綠佳利股份有限公司,(輪早晚班)行政人員–台北,"月薪29,000~37,000元"
6001001001,綠世界生態農場_亞馬遜育樂股份有限公司,國貿助理（綠世界台北總公司）,"月薪33,000~50,000元"
6001001001,全球吸引力股份有限公司,行政助理,"月薪32,000~36,000元"
6001001001,大師兄國際投資股份有限公司,【大師兄餐飲集團擴編】會計暨總部行政助理,"月薪32,000~35,000元"
6001001001,字神帝國英語學院_新視界國際文教顧問有限公司,課務行政專員－台北總部,"月薪32,000~36,000元"
6001001001,艾鍗科技有限公司,行政專員,"月薪34,000~43,000元"
6001001001,inline_樂排股份有限公司,日間長期行政工讀生 (歡迎夜間部/進修部在校生）,時薪183元
6001001001,濰視眼科診所,【台北濰視擴大徵才】行政櫃台專員,"月薪32,000~35,000元"
