area_no,company_name,job_name,salary
6001001001,阿特發互動科技有限公司,AR2VR教育新創 - 行政總務 【臺北】,"月薪28,000~42,000元"
6001001001,藝珂人事顧問股份有限公司,"#學生可 #薪資28,000起【信義/中山/中正區 | 台灣知名金融上市公司】穩定週休六日 | BIS_202","月薪28,000~32,000元"
6001001001,台北市私立時代國際語文短期補習班,客服行政人員(站前校),時薪183元
6001001001,香港商億泰國際_億泰國際實業有限公司,高階主管特助暨人資,"月薪38,500元以上"
6001001001,采安國際股份有限公司,業務助理,"月薪33,000~38,000元"
6001001001,美商宇心生醫股份有限公司台灣分公司,行政會計 實習生,時薪183元以上
6001001001,Holo+FACE_禾樂映像股份有限公司,【台北華山概念店】門市客戶顧問,"月薪33,000~40,000元"
6001001001,德年國際股份有限公司,【野奢露營區】人資總務專員,"月薪35,000~40,000元"
6001001001,愛沙龍股份有限公司,行政文書兼職人員 &amp; 工讀生,時薪185~200元
6001001001,樂欣國際股份有限公司,行政助理秘書,"月薪35,000~55,000元"
6001001001,濰視眼科診所,【台北濰視擴大徵才】行政櫃台專員,"月薪32,000~35,000元"
6001001001,Bonniesugar手作甜點專門店_宥米食品工作室,人資助理正職-【Bonnie Sugar 甜點台北區】,"月薪27,470~35,000元"
6001001001,阿特發互動科技有限公司,AR2VR教育新創 - 行政總務 【臺北】,"月薪28,000~42,000元"
6001001001,藝珂人事顧問股份有限公司,"#學生可 #薪資28,000起【信義/中山/中正區 | 台灣知名金融上市公司】穩定週休六日 | BIS_202","月薪28,000~32,000元"
6001001001,采安國際股份有限公司,業務助理,"月薪33,000~38,000元"
6001001001,愛沙龍股份有限公司,行政文書兼職人員 &amp; 工讀生,時薪185~200元
6001001001,LACOSTE_台灣拉克絲蒂股份有限公司,報表處理人員(樞紐Vloookup),"月薪27,470~30,000元"
6001001001,荷馬國際有限公司,行政會計專員,"月薪30,000~38,000元"
6001001001,湧立股份有限公司,人資助理,"月薪27,470元"
6001001001,摩爾證券投資顧問股份有限公司,業務助理人員,"月薪27,470元"
6001001001,LACOSTE_台灣拉克絲蒂股份有限公司,報表處理人員(樞紐Vloookup),"月薪27,470~30,000元"
6001001001,荷馬國際有限公司,行政會計專員,"月薪30,000~38,000元"
6001001001,湧立股份有限公司,人資助理,"月薪27,470元"
6001001001,摩爾證券投資顧問股份有限公司,業務助理人員,"月薪27,470元"
